"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.929281535E1,5.231222000E1,4.946998333E0,-1.123133652E2,0.000000000E0,0.000000000E0,8.800000191E0,2.158000031E2
5.029281535E1,5.231214667E1,4.947105000E0,-8.541340900E1,0.000000000E0,0.000000000E0,7.300000191E0,1.833999939E2
5.129281535E1,5.231214667E1,4.947150000E0,-7.771338346E1,0.000000000E0,0.000000000E0,6.699999809E0,1.728000031E2
5.229281535E1,5.231215000E1,4.947168333E0,-7.191336831E1,0.000000000E0,0.000000000E0,6.000000000E0,1.513999939E2
5.329281535E1,5.231215167E1,4.947190000E0,-6.841335363E1,0.000000000E0,0.000000000E0,5.599999905E0,1.408000031E2
5.429281535E1,5.231215333E1,4.947235000E0,-5.491332572E1,0.000000000E0,0.000000000E0,5.300000191E0,1.235999985E2
5.529281535E1,5.231216167E1,4.947253333E0,-4.431330345E1,0.000000000E0,0.000000000E0,5.099999905E0,1.183000031E2
5.629281535E1,5.231217000E1,4.947250000E0,-3.651329348E1,0.000000000E0,0.000000000E0,5.000000000E0,1.161999969E2
5.729281535E1,5.231217667E1,4.947241667E0,-3.341328872E1,0.000000000E0,0.000000000E0,5.000000000E0,1.149000015E2
5.829281535E1,5.231217667E1,4.947233333E0,-3.211329345E1,0.000000000E0,0.000000000E0,5.000000000E0,1.133000031E2
5.929281535E1,5.231218167E1,4.947225000E0,-3.071329107E1,0.000000000E0,0.000000000E0,5.000000000E0,1.126999969E2
6.029281535E1,5.231216833E1,4.947228333E0,-2.811330815E1,0.000000000E0,0.000000000E0,4.900000095E0,1.110999985E2
6.129281535E1,5.231215333E1,4.947211667E0,-2.731333896E1,0.000000000E0,0.000000000E0,4.800000191E0,1.100999985E2
6.229281535E1,5.231215167E1,4.947190000E0,-2.631335363E1,0.000000000E0,0.000000000E0,4.800000191E0,1.095000000E2
6.329281535E1,5.231215000E1,4.947160000E0,-2.791337304E1,0.000000000E0,0.000000000E0,4.699999809E0,1.086999969E2
6.429281535E1,5.231216167E1,4.947155000E0,-2.711335927E1,0.000000000E0,0.000000000E0,4.699999809E0,1.080999985E2
6.529281535E1,5.231217500E1,4.947155000E0,-2.611334030E1,0.000000000E0,0.000000000E0,4.699999809E0,1.076999969E2
6.629281535E1,5.231219333E1,4.947160000E0,-2.481331136E1,0.000000000E0,0.000000000E0,4.599999905E0,1.053000031E2
6.729281535E1,5.231221000E1,4.947168333E0,-2.371328291E1,0.000000000E0,0.000000000E0,4.599999905E0,1.035000000E2
6.829281535E1,5.231221167E1,4.947168333E0,-2.311328054E1,0.000000000E0,0.000000000E0,4.599999905E0,1.031999969E2
6.929281535E1,5.231221167E1,4.947146667E0,-2.251329284E1,0.000000000E0,0.000000000E0,4.599999905E0,1.015000000E2
7.029281535E1,5.231219167E1,4.947135000E0,-1.891332793E1,0.000000000E0,0.000000000E0,4.599999905E0,9.650000000E1
7.129281535E1,5.231218500E1,4.947130000E0,-1.441334026E1,0.000000000E0,0.000000000E0,4.599999905E0,9.669999695E1
7.229281535E1,5.231218000E1,4.947125000E0,-1.051335021E1,0.000000000E0,0.000000000E0,4.599999905E0,9.700000000E1
7.329281535E1,5.231218333E1,4.947128333E0,-6.613343573E0,0.000000000E0,0.000000000E0,4.599999905E0,9.719999695E1
7.429281535E1,5.231219667E1,4.947123333E0,-6.013327435E0,0.000000000E0,0.000000000E0,4.599999905E0,9.719999695E1
7.529281535E1,5.231220833E1,4.947108333E0,-6.013319347E0,0.000000000E0,0.000000000E0,4.599999905E0,9.730000305E1
7.629281535E1,5.231221667E1,4.947093333E0,-7.413316002E0,0.000000000E0,0.000000000E0,4.599999905E0,9.759999847E1
7.729281535E1,5.231222500E1,4.947080000E0,-8.313311711E0,0.000000000E0,0.000000000E0,4.599999905E0,9.800000000E1
7.829281535E1,5.231222667E1,4.947065000E0,-8.213317855E0,0.000000000E0,0.000000000E0,4.500000000E0,9.840000153E1
7.929281535E1,5.231223667E1,4.947048333E0,-8.913313084E0,0.000000000E0,0.000000000E0,4.500000000E0,9.880000305E1
8.029281535E1,5.231224500E1,4.947043333E0,-8.513304063E0,0.000000000E0,0.000000000E0,4.500000000E0,9.909999847E1
8.129281535E1,5.231225500E1,4.947038333E0,-7.613292669E0,0.000000000E0,0.000000000E0,4.500000000E0,9.750000000E1
8.229281535E1,5.231225500E1,4.947030000E0,-6.413297400E0,0.000000000E0,0.000000000E0,4.400000095E0,9.769999695E1
8.329281535E1,5.231225833E1,4.947026667E0,-5.013294548E0,0.000000000E0,0.000000000E0,4.500000000E0,9.800000000E1
8.429281535E1,5.231227167E1,4.947020000E0,-3.813279357E0,0.000000000E0,0.000000000E0,4.500000000E0,9.590000153E1
8.529281535E1,5.231227833E1,4.947015000E0,-2.213272708E0,0.000000000E0,0.000000000E0,4.500000000E0,9.500000000E1
8.629281535E1,5.231228167E1,4.946978333E0,-1.213288780E0,0.000000000E0,0.000000000E0,4.500000000E0,9.419999695E1
8.729281535E1,5.231227500E1,4.946946667E0,-1.413316245E0,0.000000000E0,0.000000000E0,4.500000000E0,9.450000000E1
8.829281535E1,5.231227167E1,4.946896667E0,-1.513349374E0,0.000000000E0,0.000000000E0,4.500000000E0,9.490000153E1
8.929281535E1,5.231227833E1,4.946856667E0,-5.133625944E-1,0.000000000E0,0.000000000E0,4.500000000E0,9.509999847E1
9.029281535E1,5.231228667E1,4.946840000E0,-1.133601965E-1,0.000000000E0,0.000000000E0,4.500000000E0,9.109999847E1
9.129281535E1,5.231229167E1,4.946790000E0,8.661853393E-2,0.000000000E0,0.000000000E0,4.500000000E0,9.130000305E1
9.229281535E1,5.231229833E1,4.946780000E0,-1.133776555E-1,0.000000000E0,0.000000000E0,4.599999905E0,8.650000000E1
9.329281535E1,5.231229667E1,4.946745000E0,-1.339989723E-2,0.000000000E0,0.000000000E0,4.599999905E0,8.480000305E1
9.429281535E1,5.231230500E1,4.946735000E0,-4.133937149E-1,0.000000000E0,0.000000000E0,4.599999905E0,8.630000305E1
9.529281535E1,5.231230500E1,4.946735000E0,-4.133937149E-1,0.000000000E0,0.000000000E0,4.599999905E0,6.100000000E1
9.629281535E1,5.231232000E1,4.946648333E0,-4.513421570E0,0.000000000E0,0.000000000E0,4.599999905E0,6.159999847E1
9.729281535E1,5.231231667E1,4.946626667E0,-4.913438614E0,0.000000000E0,0.000000000E0,4.599999905E0,6.150000000E1
9.829281535E1,5.231232667E1,4.946615000E0,-5.213431006E0,0.000000000E0,0.000000000E0,4.699999809E0,6.100000000E1
9.929281535E1,5.231233000E1,4.946605000E0,-5.413431940E0,0.000000000E0,0.000000000E0,4.699999809E0,6.179999924E1
1.002928154E2,5.231233833E1,4.946566667E0,-5.313441843E0,0.000000000E0,0.000000000E0,4.699999809E0,6.279999924E1
1.012928154E2,5.231235000E1,4.946561667E0,-4.613428079E0,0.000000000E0,7.348000336E1,4.699999809E0,6.070000076E1
1.022928154E2,5.231234167E1,4.946501667E0,-4.113474001E0,0.000000000E0,2.928699951E2,4.599999905E0,6.000000000E1
1.032928154E2,5.231235500E1,4.946493333E0,-3.913459757E0,0.000000000E0,2.927699890E2,4.599999905E0,6.029999924E1
1.042928154E2,5.231235500E1,4.946493333E0,-3.913459757E0,0.000000000E0,2.927699890E2,4.500000000E0,5.720000076E1
1.052928154E2,5.231235500E1,4.946493333E0,-3.913459757E0,0.000000000E0,2.927699890E2,4.400000095E0,4.909999847E1
1.062928154E2,5.231235500E1,4.946493333E0,-3.913459757E0,0.000000000E0,3.035700073E2,4.300000191E0,4.870000076E1
1.072928154E2,5.231235500E1,4.946493333E0,-3.913459757E0,0.000000000E0,3.035700073E2,4.300000191E0,4.779999924E1
1.082928154E2,5.231239500E1,4.946386667E0,-8.134633916E-1,0.000000000E0,3.035700073E2,4.199999809E0,4.809999847E1
1.092928154E2,5.231239167E1,4.946378333E0,-1.013472866E0,0.000000000E0,3.035700073E2,4.199999809E0,4.490000153E1
1.102928154E2,5.231238000E1,4.946350000E0,-1.013505554E0,0.000000000E0,3.035700073E2,4.199999809E0,4.509999847E1
1.112928154E2,5.231235833E1,4.946295000E0,-2.213567612E0,0.000000000E0,3.035700073E2,4.099999905E0,4.290000153E1
1.122928154E2,5.231233500E1,4.946276667E0,-2.113611224E0,0.000000000E0,3.035700073E2,4.099999905E0,4.329999924E1
1.132928154E2,5.231232667E1,4.946260000E0,-3.013632545E0,0.000000000E0,3.035700073E2,4.099999905E0,4.370000076E1
1.142928154E2,5.231232667E1,4.946248333E0,-2.913639168E0,0.000000000E0,3.035700073E2,4.199999809E0,4.420000076E1
1.152928154E2,5.231232667E1,4.946225000E0,-2.813652415E0,0.000000000E0,3.035700073E2,4.199999809E0,4.470000076E1
1.162928154E2,5.231231667E1,4.946203333E0,-2.913678946E0,0.000000000E0,3.035700073E2,4.199999809E0,4.509999847E1
1.172928154E2,5.231231667E1,4.946191667E0,-2.813685569E0,0.000000000E0,3.035700073E2,4.199999809E0,4.559999847E1
1.182928154E2,5.231228000E1,4.946156667E0,-3.813757616E0,0.000000000E0,3.035700073E2,4.099999905E0,4.540000153E1
1.192928154E2,5.231227667E1,4.946145000E0,-3.813768983E0,0.000000000E0,3.035700073E2,4.199999809E0,4.570000076E1
1.202928154E2,5.231226167E1,4.946116667E0,-3.413806413E0,0.000000000E0,3.035700073E2,4.199999809E0,4.600000000E1
1.212928154E2,5.231225500E1,4.946100000E0,-2.913825361E0,0.000000000E0,3.035700073E2,4.099999905E0,6.819999695E1
1.222928154E2,5.231224333E1,4.946070000E0,-3.013858994E0,0.000000000E0,3.035700073E2,4.099999905E0,6.740000153E1
1.232928154E2,5.231224667E1,4.946058333E0,-3.413860874E0,0.000000000E0,3.035700073E2,4.099999905E0,6.669999695E1
1.242928154E2,5.231225500E1,4.946046667E0,-3.913855638E0,0.000000000E0,3.035700073E2,4.099999905E0,5.000000000E1
1.252928154E2,5.231226500E1,4.946033333E0,-4.913848978E0,0.000000000E0,3.035700073E2,4.099999905E0,4.929999924E1
1.262928154E2,5.231226833E1,4.946026667E0,-5.113848019E0,0.000000000E0,3.035700073E2,4.199999809E0,4.879999924E1
1.272928154E2,5.231225000E1,4.946001667E0,-5.213888300E0,0.000000000E0,3.035700073E2,4.199999809E0,4.750000000E1
1.282928154E2,5.231226000E1,4.945980000E0,-5.813886370E0,0.000000000E0,3.035700073E2,4.099999905E0,4.750000000E1
1.292928154E2,5.231226500E1,4.945963333E0,-6.213888717E0,0.000000000E0,3.035700073E2,4.099999905E0,4.750000000E1
1.302928154E2,5.231226000E1,4.945936667E0,-6.513910971E0,0.000000000E0,3.035700073E2,4.099999905E0,4.770000076E1
1.312928154E2,5.231226000E1,4.945915000E0,-6.713923271E0,0.000000000E0,3.035700073E2,4.099999905E0,4.779999924E1
1.322928154E2,5.231225333E1,4.945896667E0,-7.013943165E0,0.000000000E0,3.035700073E2,4.199999809E0,4.790000153E1
1.332928154E2,5.231226667E1,4.945891667E0,-7.113927031E0,0.000000000E0,3.035700073E2,4.199999809E0,4.820000076E1
1.342928154E2,5.231227500E1,4.945880000E0,-7.113921796E0,0.000000000E0,3.035700073E2,4.199999809E0,4.840000153E1
1.352928154E2,5.231227833E1,4.945865000E0,-7.213925568E0,0.000000000E0,3.035700073E2,4.199999809E0,4.879999924E1
1.362928154E2,5.231227500E1,4.945853333E0,-7.313936935E0,0.000000000E0,3.035700073E2,4.199999809E0,4.909999847E1
1.372928154E2,5.231227500E1,4.945838333E0,-7.213945450E0,0.000000000E0,3.035700073E2,4.199999809E0,4.890000153E1
1.382928154E2,5.231227333E1,4.945830000E0,-7.313952553E0,0.000000000E0,3.035700073E2,4.199999809E0,4.909999847E1
1.392928154E2,5.231227667E1,4.945823333E0,-7.313951594E0,0.000000000E0,3.035700073E2,4.199999809E0,4.570000076E1
1.402928154E2,5.231227500E1,4.945818333E0,-7.213956804E0,0.000000000E0,3.035700073E2,4.199999809E0,4.600000000E1
1.412928154E2,5.231228000E1,4.945803333E0,-6.713958205E0,0.000000000E0,3.035700073E2,4.199999809E0,4.609999847E1
1.422928154E2,5.231227167E1,4.945781667E0,-6.113982363E0,0.000000000E0,3.035700073E2,4.199999809E0,4.729999924E1
1.432928154E2,5.231226167E1,4.945765000E0,-5.714006054E0,0.000000000E0,3.035700073E2,4.199999809E0,4.759999847E1
1.442928154E2,5.231225333E1,4.945738333E0,-5.214033051E0,0.000000000E0,3.035700073E2,4.199999809E0,4.779999924E1
1.452928154E2,5.231224333E1,4.945723333E0,-5.114055796E0,0.000000000E0,3.035700073E2,4.199999809E0,4.829999924E1
1.462928154E2,5.231223833E1,4.945710000E0,-5.214070479E0,0.000000000E0,3.035700073E2,4.199999809E0,4.850000000E1
1.472928154E2,5.231222333E1,4.945700000E0,-5.214097500E0,0.000000000E0,3.035700073E2,4.099999905E0,4.809999847E1
1.482928154E2,5.231221667E1,4.945691667E0,-5.214111717E0,0.000000000E0,3.035700073E2,4.099999905E0,4.450000000E1
1.492928154E2,5.231221000E1,4.945681667E0,-5.214126880E0,0.000000000E0,3.035700073E2,4.099999905E0,4.479999924E1
1.502928154E2,5.231220500E1,4.945670000E0,-5.214140618E0,0.000000000E0,3.035700073E2,4.099999905E0,4.500000000E1
1.512928154E2,5.231220000E1,4.945650000E0,-5.114159086E0,0.000000000E0,3.035700073E2,4.099999905E0,4.529999924E1
1.522928154E2,5.231219333E1,4.945663333E0,-5.114161003E0,0.000000000E0,3.035700073E2,4.099999905E0,4.579999924E1
1.532928154E2,5.231218167E1,4.945656667E0,-5.414181388E0,0.000000000E0,3.035700073E2,4.099999905E0,4.459999847E1
1.542928154E2,5.231217500E1,4.945653333E0,-5.814192767E0,0.000000000E0,3.035700073E2,4.099999905E0,4.490000153E1
1.552928154E2,5.231216833E1,4.945645000E0,-6.214206984E0,0.000000000E0,3.035700073E2,4.099999905E0,4.500000000E1
1.638680976E2,5.231212000E1,4.944631667E0,-6.214850999E0,0.000000000E0,0.000000000E0,9.899999619E0,8.580000305E1
1.648680976E2,5.231211500E1,4.944610000E0,-6.114870412E0,0.000000000E0,0.000000000E0,9.399999619E0,8.550000000E1
1.658680976E2,5.231208500E1,4.944651667E0,-6.114889440E0,0.000000000E0,0.000000000E0,8.800000191E0,8.509999847E1
1.668680976E2,5.231210667E1,4.944681667E0,-6.214841585E0,0.000000000E0,0.000000000E0,7.900000095E0,8.490000153E1
1.678680976E2,5.231210667E1,4.944698333E0,-6.214832124E0,0.000000000E0,0.000000000E0,7.599999905E0,8.059999847E1
1.688680976E2,5.231213833E1,4.944716667E0,-6.214776664E0,1.683141738E-1,8.031999969E1,7.300000191E0,7.690000153E1
1.698680976E2,5.231214500E1,4.944776667E0,-6.114733118E0,2.197863907E-1,6.156999969E1,7.099999905E0,7.469999695E1
1.708680976E2,5.231215833E1,4.944796667E0,-6.214702795E0,0.000000000E0,6.156999969E1,7.000000000E0,7.430000305E1
1.718680976E2,5.231227000E1,4.944828333E0,-6.214525945E0,0.000000000E0,6.156999969E1,6.400000095E0,7.500000000E1
1.728680976E2,5.231229333E1,4.944833333E0,-6.214489909E0,0.000000000E0,6.156999969E1,6.300000191E0,6.700000000E1
1.738680976E2,5.231230333E1,4.944821667E0,-6.214482305E0,0.000000000E0,6.156999969E1,6.199999809E0,6.540000153E1
1.748680976E2,5.231229167E1,4.944798333E0,-6.214512150E0,0.000000000E0,6.156999969E1,5.900000095E0,5.090000153E1
1.758680976E2,5.231229167E1,4.944800000E0,-6.214511204E0,0.000000000E0,6.156999969E1,5.699999809E0,4.909999847E1
1.768680976E2,5.231229500E1,4.944796667E0,-6.214508354E0,0.000000000E0,6.156999969E1,5.599999905E0,4.690000153E1
1.778680976E2,5.231228500E1,4.944788333E0,-6.214527312E0,0.000000000E0,6.156999969E1,5.400000095E0,4.650000000E1
1.788680976E2,5.231229333E1,4.944785000E0,-6.214517348E0,0.000000000E0,6.156999969E1,5.300000191E0,4.659999847E1
1.798680976E2,5.231229667E1,4.944783333E0,-6.214513552E0,0.000000000E0,6.156999969E1,5.300000191E0,4.700000000E1
1.808680976E2,5.231230667E1,4.944786667E0,-6.214497432E0,0.000000000E0,6.156999969E1,5.099999905E0,4.750000000E1
1.818680976E2,5.231247000E1,4.945016667E0,-6.214134471E0,0.000000000E0,6.156999969E1,1.169999981E1,4.829999924E1
1.832060976E2,5.231235333E1,4.945000000E0,-6.114309924E0,0.000000000E0,6.156999969E1,9.199999809E0,4.659999847E1
1.842060976E2,5.231233500E1,4.945000000E0,-6.114336009E0,0.000000000E0,6.156999969E1,8.100000381E0,4.500000000E1
1.852060976E2,5.231233000E1,4.945026667E0,-6.114327984E0,0.000000000E0,6.156999969E1,7.400000095E0,4.009999847E1
1.862060976E2,5.231235000E1,4.945035000E0,-6.114294797E0,0.000000000E0,6.156999969E1,6.699999809E0,4.000000000E1
1.872060976E2,5.231233500E1,4.945048333E0,-6.114308569E0,0.000000000E0,6.156999969E1,6.400000095E0,3.920000076E1
1.882060976E2,5.231236500E1,4.945070000E0,-6.114253585E0,0.000000000E0,6.156999969E1,6.199999809E0,3.979999924E1
1.892060976E2,5.231237167E1,4.945088333E0,-6.114233691E0,0.000000000E0,6.156999969E1,6.099999905E0,4.050000000E1
1.902060976E2,5.231236833E1,4.945095000E0,-6.114234649E0,0.000000000E0,6.156999969E1,6.000000000E0,4.150000000E1
1.912060976E2,5.231236167E1,4.945105000E0,-6.014238457E0,0.000000000E0,6.156999969E1,5.900000095E0,4.250000000E1
1.922060976E2,5.231236000E1,4.945201667E0,-6.014185949E0,0.000000000E0,6.156999969E1,5.699999809E0,4.350000000E1
1.932060976E2,5.231235333E1,4.945208333E0,-6.014191649E0,0.000000000E0,6.156999969E1,5.599999905E0,4.479999924E1
1.942060976E2,5.231234667E1,4.945225000E0,-5.914191673E0,0.000000000E0,6.156999969E1,5.500000000E0,4.609999847E1
1.952060976E2,5.231233500E1,4.945241667E0,-5.914198811E0,0.000000000E0,6.156999969E1,5.400000095E0,4.600000000E1
1.962060976E2,5.231232667E1,4.945301667E0,-5.914176605E0,0.000000000E0,6.156999969E1,5.199999809E0,4.720000076E1
1.972060976E2,5.231231667E1,4.945311667E0,-5.914185156E0,0.000000000E0,6.156999969E1,5.099999905E0,4.750000000E1
1.982060976E2,5.231229167E1,4.945313333E0,-5.914219781E0,0.000000000E0,6.156999969E1,5.000000000E0,4.620000076E1
1.992060976E2,5.231227167E1,4.945328333E0,-5.914239722E0,0.000000000E0,6.156999969E1,4.900000095E0,4.620000076E1
2.002060976E2,5.231225500E1,4.945371667E0,-5.914238836E0,0.000000000E0,6.156999969E1,4.800000191E0,4.609999847E1
2.012060976E2,5.231223333E1,4.945400000E0,-5.914253580E0,0.000000000E0,6.156999969E1,4.699999809E0,4.609999847E1
2.022060976E2,5.231221500E1,4.945423333E0,-5.814266419E0,0.000000000E0,6.156999969E1,4.699999809E0,4.670000076E1
2.032060976E2,5.231220500E1,4.945443333E0,-5.814269294E0,0.000000000E0,6.156999969E1,4.599999905E0,4.740000153E1
2.042060976E2,5.231220167E1,4.945456667E0,-5.714266468E0,0.000000000E0,6.156999969E1,4.599999905E0,3.990000153E1
2.052060976E2,5.231217833E1,4.945496667E0,-5.614276961E0,0.000000000E0,6.156999969E1,4.599999905E0,4.020000076E1
2.062060976E2,5.231215500E1,4.945561667E0,-5.514273262E0,0.000000000E0,6.156999969E1,4.599999905E0,4.170000076E1
2.072060976E2,5.231215833E1,4.945573333E0,-5.514261896E0,0.000000000E0,6.156999969E1,4.599999905E0,4.240000153E1
2.082060976E2,5.231215833E1,4.945580000E0,-5.514258112E0,0.000000000E0,6.156999969E1,4.599999905E0,4.329999924E1
2.092060976E2,5.231215500E1,4.945588333E0,-5.414258124E0,0.000000000E0,6.156999969E1,4.500000000E0,4.390000153E1
2.102060976E2,5.231214833E1,4.945596667E0,-5.414262880E0,0.000000000E0,6.156999969E1,4.500000000E0,4.390000153E1
2.112060976E2,5.231214833E1,4.945608333E0,-5.414256257E0,5.116338730E-1,1.049700012E2,4.400000095E0,4.490000153E1
2.122060976E2,5.231214833E1,4.945615000E0,-5.414252472E0,4.647941589E-1,8.997000122E1,4.400000095E0,4.609999847E1
2.132060976E2,5.231215333E1,4.945626667E0,-5.314238735E0,0.000000000E0,8.997000122E1,4.400000095E0,4.659999847E1
2.142060976E2,5.231215833E1,4.945633333E0,-5.314227836E0,0.000000000E0,8.997000122E1,4.300000191E0,4.770000076E1
